Metropolitan Area,# of Reports
"Beckley, WV Metropolitan Statistical Area",123
"Charleston, WV Metropolitan Statistical Area",321
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",502
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",405
"Morgantown, WV Metropolitan Statistical Area",143
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","19,689"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",130
"Wheeling, WV-OH Metropolitan Statistical Area",131
"Winchester, VA-WV Metropolitan Statistical Area",191
