Metropolitan Area,# of Reports
"Flagstaff, AZ Metropolitan Statistical Area","1,270"
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","2,845"
"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","76,729"
"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","3,500"
"Show Low, AZ Micropolitan Statistical Area",878
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","1,622"
"Tucson, AZ Metropolitan Statistical Area","14,321"
"Yuma, AZ Metropolitan Statistical Area","1,872"
